artist,artist_id
Coconuts,6KPWnJouOHhX0ZhscJsIU1
Cold,4gzpq5DPGxSnKTe4SA8HAU
Collective Soul,4e5V1Q2dKCzbLVMQ8qbTn6
Com Truise,2wouN3QXejYa5tKetYdcVX
Corran,5RteSkbK6klz3fgMMXH7lv
Cory Johnson,7e3PreZhibIpYj3DeJNBbd
Count Basie Orchestra/Frank Sinatra,
Courtney Barnett,4OOlG5eBXSkSAAEeKjJb5Y
Creedence Clearwater Revival,3IYUhFvPQItj6xySrBmZkd
Crowded House,7ohlPA8dRBtCf92zaZCaaB
Crush 40,4gNEgDZhEu6ldAI2wWdZsL
Crush 40 & Bently Jones,
Crystal Castles,7K3zpFXBvPcvzhj7zlGJdO
Cursive,1sylmUjlKYsLA49YtkNHW3
Cymbals Eat Guitars,580mg2IiCqPs9dmDUkJj2x
DJ Dain,5XBEPk2997Lua0XGi2jACP
DJ Electrohead,07VV1YKJ4nR91b6KukksI8
Da Vinci's Notebook,4rIDY3ojaWd7Z9ky9SFc1g
Dads,2OUGTXNFUe4WwC4CWpvIal
Daft Punk,4tZwfgrHOc3mvqYlEYSvVi
Dag Unenge,3juiOjxrsYhIVhgEk904ni
Dave Mason,2DWQX92uew7DlsgN0yD775
Dave Matthews Band,2TI7qyDE0QfyOlnbtfDo7L
David Bowie,0oSGxfWSnnOXhD2fKuz2Gy
Death Cab For Cutie,0YrtvWJMgSdVrk3SfNjTbx
Death Cab for Cutie,0YrtvWJMgSdVrk3SfNjTbx
Deep Blue Something,5N5RfI8FFXk4WQ8kkjE407
Deep Purple,568ZhdwyaiCyOGJRtNYhWf
Default,4nCzT3o7lMgCWBcmdwCMsT
Depeche Mode,762310PdDnwsDxAQxzQkfX
Destroyer,22ojy4H4ZVpowC4lRRC8In
Dethklok,7u12AuhJ5AaJIgZAZe0US8
Diana Ross and the Supremes,0rXI0q8Cahq6numvPlloaq
Diarrhea Planet,7JxrbI1DZLSJUyzsrBQop2
Dick Dale & The Del-Tones,
Dido,2mpeljBig2IXLXRAFO9AAs
Dinosaur Jr.,267VY6GX5LyU5c9M85ECZQ
Dirty Pretty Things,6fHETUBbKmdmgybtFOFQuc
Dishwalla,6F3NW2aC9Sni1FH7QPSLvw
Dj Fezik,
Dollfin,2dxVF5HRhYaInwhwFgroxF
Dowsing,0VvySnLLgB17dDSn0i4LVC
Drive Like Jehu,7FbdCzKUwoZs1v9bCl43Ev
Drive-By Truckers,1rXr1ZnvbRoYBaedIl9v4v
Dropkick Murphys,7w9jdhcgHNdiPeNPUoFSlx
Dubmood,4D2G48IdJKhcdZ5c1dqp5Z
Duncan Sheik,3AO6RTDA16mg8czQI5Y9K0
Duran Duran,0lZoBs4Pzo7R89JM9lxwoT
Dynamite Hack,6jddkwDLW1TOlqdjfK4ywk
E*vax,12m4a5ljGoe6yyYPpVi7Hr
Edward Sharpe & The Magnetic Zeros,7giUHu5pv6YTZgSkxxCcgh
Eirik Suhrke,44ShdIQTBAqvSMPHozwK5J
El Huervo,2gG1LfmQPkHZNptgVpYlpr
El Huervo ft. Shelby Cinca,
El Tigr3,0Z43xNK0ZhtPW2eKi1L1OP
Elbow,0TJB3EE2efClsYIDQ8V2Jk
Electric Light Orchestra,7jefIIksOi1EazgRTfW2Pk
Electric Six,4xNadaO5ZZLVJdqDIVVIua
Elliot Berlin,3zD59DcLWzs9MiOoUt4Kya
Elton John,3PhoLpVuITZKcymswpck5b
Elvis Costello & the Attractions,4qmHkMxr6pTWh5Zo74odpH
